country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Belarus;994037.0;7118.0;965455.0;53.7098;27.9534;9340314.0;21464.0;0.10642436646134167;0.0007620728810616003;0.10336429803109402;0.0022979955491860336
Belgium;4398161.0;32179.0;3066884.0;50.8333;4.469936;11587882.0;1299098.0;0.3795483074473834;0.002776952682120857;0.2646630333308537;0.11210832143440881
Belize;66857.0;680.0;62674.0;17.1899;-88.4976;404915.0;3503.0;0.16511366583110035;0.0016793648049590656;0.15478310262647715;0.008651198399664127
Benin;27271.0;163.0;26030.0;9.3077;2.3158;12451031.0;1078.0;0.0021902603888786397;1.3091285372271582e-05;0.002090589927854167;8.657917565220101e-05
Bhutan;60368.0;21.0;56980.0;27.5142;90.4336;779900.0;3367.0;0.07740479548660084;2.6926529042184897e-05;0.07306064880112835;0.0043172201564303115
Bolivia;1020678.0;22036.0;883871.0;-16.2902;-63.5887;11832936.0;114771.0;0.08625737517721722;0.0018622597130585343;0.07469583204033217;0.009699283423826513
Bosnia and Herzegovina;384390.0;15851.0;350110.0;43.9159;17.6791;3263459.0;18429.0;0.11778606686953934;0.004857116329636744;0.1072818748450647;0.0056470756948379
Botswana;325181.0;2763.0;311678.0;-22.3285;24.6849;2397240.0;10740.0;0.13564807862375064;0.0011525754617810482;0.13001535098696834;0.004480152175001252
Brazil;33704393.0;677804.0;30580816.0;-14.235;-51.9253;213993441.0;2445773.0;0.15750199091382433;0.0031674054907131475;0.1429053893291991;0.011429196093912056
Bulgaria;1202494.0;37356.0;1102695.0;42.7339;25.4858;6899125.0;62443.0;0.1742965955827732;0.005414599677495335;0.15983113800663126;0.009050857898646568
Burkina Faso;21128.0;387.0;20377.0;12.2383;-1.5616;21497097.0;364.0;0.000982830379376341;1.8002430746812e-05;0.0009478954297875662;1.6932518841962706e-05
Burundi;44437.0;38.0;36012.0;-3.3731;29.9189;12255429.0;8387.0;0.0036259032629539123;3.1006666514897194e-06;0.0029384528277223098;0.0006843497685801125
